id,location,products
n28,,"Air Conditioner Fan Switch Part of Vehicle, Cooling Fan Part of Vehicle, Power Steering Motor Part of Vehicle, Crank Case Ventilation System Part of Vehicle, Cooling Fan Coupling Part of Vehicle, Component Parts Part of Vehicle, Seal Part of Vehicle, Rubber-metal parts Part of Vehicle, Fabric Part of Vehicle, Various battery Part of Vehicle, Gear Part of Vehicle"
n29,India,Rebars
n30,Germany,Asset Management
n31,,
n32,China,Oil Pan Part of Vehicle
n33,New Zealand,Home Construction
n34,Japan,"Rubber injection molding parts Part of Vehicle, Containers & Packaging, Categories by Production process Part of Vehicle, Categories by Production process Part of Vehicle, Industrial Support Services, Containers & Packaging, Consumer Services"
n35,Japan,Plastic injection molding Part of Vehicle
n36,Germany,Leisure Facilities & Services
n37,Germany,Industrial Support Services
n38,Japan,"Steel bar, Forestry, Paper & Wood Products"
n39,South Korea,Aluminium billet
n40,Ukraine,"Heavy angles, Fertilizer, Continuous caster slab, Semi-anthracite pulverised coal injection (pci) coal"
n41,Vietnam,"Pgm, Palladium"
n42,India,Rubber parts Part of Vehicle
n43,Japan,Steel billets
n44,Canada,Platinum
n45,Japan,"Cold-rolled steel rolls, Wire rods, Pci, PCB, PCB Mounted Products Part of Vehicle, Wire rods"
n46,Netherlands,"Steel bar, Food"
n47,China,"Small form and t-foundry, Software, Software, Pgm"
n48,Japan,Real Estate Services
n49,Spain,"Steel bloom, Hot-rolled steel rolls, Steel, Metallurgical coal, Software"
n50,Chile,Thermal coal
n51,,"Bituminous coal, Leisure Products"
n52,Japan,Liquid Crystal Part of Vehicle
n53,India,Semi-anthracite pulverised coal injection (pci) coal
n54,Taiwan,"Pipe / Hose Part of Vehicle, Containers & Packaging, Counter Shaft Part of Vehicle"
n55,France,4WD Transfer Part of Vehicle
n56,South Korea,"Distributor Part of Vehicle, Advertising & Marketing, Telematics Communication System Part of Vehicle, Distributor Part of Vehicle, Automatic Control Parts Part of Vehicle, Wholesale - Discretionary, Clean energy system Part of Vehicle, Leisure Facilities & Services, Security System Part of Vehicle, Security System Part of Vehicle"
n57,Spain,"Steel, Wire rods, Steel angles, Steel, Aluminium, Wire rods, Steel, Steel"
n58,Slovakia,Software
n59,,"Aluminium wire rod, Copper rod"
n60,,
n61,,"Industrial Support Services, Containers & Packaging, Distributor Part of Vehicle, Distributor Part of Vehicle"
n62,,
n63,China,Coal
n64,South Korea,Railroad rails
n65,,"Sulphuric acid, Organic-coated rolls, Household Products, Forestry, Paper & Wood Products, Organic-coated rolls, Cold-rolled sheet, Household Products, Sulphuric acid, Palladium, Phosphates"
n66,United States,"Coal, Forestry, Paper & Wood Products"
n67,Sweden,"Forestry, Paper & Wood Products, Uranium, Coal"
n68,United Arab Emirates,"Fertilizer, Household Products"
n69,Germany,"Software, Software, Software"
n70,,Alumina hydrate
n71,South Africa,Roll forming Part of Vehicle
n72,,"Software, Covers"
n73,Taiwan,Electronics/Electric Parts Part of Vehicle
n74,United States,"Seat Part of Vehicle, Seat Part of Vehicle, Seat Part of Vehicle, Door Trim Part of Vehicle, Seat Part of Vehicle, Seat Part of Vehicle, Seat Reclining Device Part of Vehicle"
n75,Taiwan,Semiconductor Part of Vehicle
n76,United States,"Industrial Support Services, Transmission Part of Vehicle"
n77,Japan,
n78,Qatar,Internet Media & Services
n79,France,"Food, Pig iron, Food"
n80,Australia,"Pulverized coal injection, Forestry, Paper & Wood Products"
n81,Japan,"Lignite, Sulphuric acid, Forestry, Paper & Wood Products"
n82,Taiwan,Key Set Part of Vehicle
n83,Singapore,Industrial Support Services
n84,China,"Iron, Steel, Steel, Iron ore, Manganese, Chemical grade alumina"
n85,Taiwan,"Tire Part of Vehicle, Pedal Parts Part of Vehicle, Tire Part of Vehicle, Tire Part of Vehicle, Tire Part of Vehicle, Tire Part of Vehicle, Suspension / Steering / Wheel & Tire Part of Vehicle, Tire Parts Part of Vehicle, Tire Parts Part of Vehicle"
n86,Turkey,"Diamonds, Ruthenium, Lithium, Pgm, Pgm"
n87,,"Semi-anthracite pulverised coal injection (pci) coal, Sulphuric acid, Merchant steel bar"
n88,,
n89,China,"Coal, Thermal coal"
n90,,"Pci, Pci, PCB, PCB Mounted Products Part of Vehicle, PCB, PCB Mounted Products Part of Vehicle, Copper, Pci metallurgical coal, PCB, PCB Mounted Products Part of Vehicle, PCB, PCB Mounted Products Part of Vehicle, PCB, PCB Mounted Products Part of Vehicle, Pci, Copper"
n91,,"Software, Thermal coal"
n92,Japan,Household Products
n93,Cayman Islands,Various Motor Part of Vehicle
n94,Colombia,"Limestone, Steel slab, Coal"
n95,Spain,
n96,,
n97,Norway,"Sub-bituminous coal, Household Products, Semi-anthracite pulverised coal injection (pci) coal"
n98,Vietnam,"Oil Pan Part of Vehicle, Other Fuel Systems Part of Vehicle"
n99,Japan,Wire rods
n100,China,"Leisure Products, Hot-rolled strip, Household Products, Household Products"
n101,,"Entertainment Content, Covers, Entertainment Content, Ilmenite, Food, Continuous caster billet, Ruthenium, Entertainment Content, Zircon, Gold, Pgm"
n102,China,"Small form and t-foundry, Real Estate Services"
n103,China,Household Products
n104,China,"Steel, Uranium, Limestone"
n105,,Real Estate Services
n106,Malaysia,Leisure Products
n107,Taiwan,"Pipe / Hose Part of Vehicle, Commercial Support Services, Other Fuel Systems Part of Vehicle"
n108,Chile,"Telematics Communication System Part of Vehicle, Forestry, Paper & Wood Products, Alumina"
n109,Poland,"Paint Coating Part of Vehicle, Industrial Support Services"
n110,Vietnam,Iron
n111,,"Steel, Steel, Hot-rolled coil, Hot-rolled steel rolls, Cold-rolled sheet, Galvanized steel"
n112,United States,Power ECU (Electric Vehicle/Hybrid Vehicle/Fuel Cell Vehicle) Part of Vehicle
n113,,"High purity, Small form and t-foundry"
n114,,"Organic-coated rolls, Chemical grade alumina, Sulphuric acid, Coke, Fertilizer, Chemical grade alumina, Zinc, Niobium"
n115,Taiwan,Internet Media & Services
n116,China,
n117,,
n118,Japan,Containers & Packaging
n119,Australia,Steel slab
n120,China,"Small form and t-foundry, Iron ore, Insurance, Fertilizer, Steel bar, Cobalt"
n121,Japan,Food
n122,South Korea,"Interior Part of Vehicle, Floor Panel Parts Part of Vehicle, Home & Office Products, Leisure Facilities & Services, HVAC Module Part of Vehicle"
n123,United States,"Small form and t-foundry, High purity, Software, Software"
n124,,"Roof Trim Parts Part of Vehicle, Home Construction, Paint Coating Part of Vehicle, Home Construction"
n125,China,Machining Part of Vehicle
n126,Japan,Railroad rails
n127,South Korea,"Organic-coated rolls, Lignite, Fertilizer"
n128,Germany,Chemical grade alumina
n129,Japan,Iron ore
n130,Indonesia,Hard coking coal
n131,Germany,
n132,,"Software, Software"
n133,,
n134,Cayman Islands,Containers & Packaging
n135,Japan,Stamping Part of Vehicle
n136,China,"Chrome, Gold, Coke, Rutile, Zircon, Banking, Banking"
n137,Hong Kong,Asset Management
n138,,"Software, Software, Software"
n139,,"Capacitor Part of Vehicle, Capacitor Part of Vehicle, Capacitor Part of Vehicle, Capacitor Part of Vehicle, Capacitor Part of Vehicle, Capacitor Part of Vehicle, Capacitor Part of Vehicle, Aluminum casting Part of Vehicle, Automatic Control Parts Part of Vehicle"
n140,Japan,Apparel & Textile Products
n141,Spain,"Asset Management, Asset Management"
n142,,"Alumina, Phosphates, Zinc ingots"
n143,,"Entertainment Content, Covers"
n144,,"Thermal coal, Coal, Coal"
n145,China,Sodium tripolyphosphate
n146,Taiwan,Plastic extruded parts Part of Vehicle
n147,China,Iron
n148,China,"Steel, Welded pipes and rebars"
n149,United States,"Bauxite, High purity, Palladium, Palladium, Palladium, Refined zinc, Bauxite, Forestry, Paper & Wood Products"
n150,Germany,"Remelt, Alumina, Silicomanganese"
n151,China,"Remelt, Remelt"
n152,United States,"Paint Coating Part of Vehicle, Paint Coating Part of Vehicle, Lens Part of Vehicle, Glass Run Part of Vehicle, Optical Fiber Part of Vehicle"
n153,Spain,
n154,United States,"Banking, Banking, Asset Management"
n155,Sri Lanka,Aluminium
n156,,
n157,,"Steel, Black plates, Tinplate, Molten metal, Software, Real Estate Services"
n158,,"Wire rods, Flat bars"
n159,,"Pci, Software, Software, Pci"
n160,,"Flywheel Part of Vehicle, Apparel & Textile Products, Sintering Part of Vehicle, Optical Fiber Part of Vehicle, Nonwoven Cloth Part of Vehicle, Fabric Part of Vehicle"
n161,Japan,Paint Coating Part of Vehicle
n162,Japan,
n163,Japan,Steel
n164,China,"T-foundry, T-foundry"
n165,,"Sulphuric acid, Sodium tripolyphosphate, Sodium tripolyphosphate, Copper, Forestry, Paper & Wood Products, Pulverized coal injection, Phosphates, High purity, High purity, Bauxite, Wire rods, Uranium, Uranium"
n166,Japan,"Aluminium slab, Insurance, Asset Management, Food, Covers, Asset Management, Real Estate Services"
n167,India,Aluminum casting Part of Vehicle
n168,,Thermal coal
n169,United States,"Distributor Part of Vehicle, Industrial Support Services, Categories by Production process Part of Vehicle, Categories by Production process Part of Vehicle, Door Check Part of Vehicle, Containers & Packaging, Boots Part of Vehicle, Air/Fuel Management Parts Part of Vehicle, Internet Media & Services"
n170,Australia,Air/Fuel Management Part of Vehicle
n171,Switzerland,Electronics Parts Part of Vehicle
n172,Japan,"Tinplate, Steel meshes"
n173,China,Chemical grade alumina
n174,United States,IGBT devices for Power ECU Part of Vehicle
n175,Spain,"Software, Leisure Products"
n176,India,Sulphuric acid
n177,Japan,"Spring Part of Vehicle, Control Cable Part of Vehicle, ETC Part of Vehicle, Suspension Part of Vehicle, Coil Spring Part of Vehicle, Stabilizer Part of Vehicle, Leaf Spring Part of Vehicle, Torsion Bar Part of Vehicle, Spring Part of Vehicle, Valve Spring Part of Vehicle, Spring Part of Vehicle, Tension Rod Part of Vehicle, Torsion Bar Part of Vehicle, Spring Part of Vehicle, Spring Part of Vehicle, Spring Part of Vehicle, Brake Disc Part of Vehicle, Coil Spring Part of Vehicle, Parking Brake Part of Vehicle, Electric Cable Part of Vehicle, Wire Harness Part of Vehicle, Air Fuel Module Part of Vehicle, Battery Cable Part of Vehicle, Electric Cable Part of Vehicle, Door Lock Module Part of Vehicle, Control Cable Part of Vehicle, Brake By Wire Part of Vehicle"
n178,Japan,"Optical Fiber Part of Vehicle, Optical Fiber Part of Vehicle, Rubber injection molding parts Part of Vehicle"
n179,El Salvador,Containers & Packaging
n180,South Korea,Various Semiconductors Part of Vehicle
n181,Germany,"Small form and t-foundry, Software"
n182,China,"Industrial Support Services, Consumer Services, Industrial Support Services, Various power semiconductor devices for Power ECU Part of Vehicle, Metal forming Part of Vehicle, Industrial Support Services, Industrial Support Services, Industrial Support Services, Industrial Support Services"
n183,South Korea,Other Fuel Systems Part of Vehicle
n184,Taiwan,Various power semiconductor devices for Inverter Part of Vehicle
n185,,Pgm
n186,Japan,"Information System Part of Vehicle, Telematics Communication System Part of Vehicle, Electronics/Electric Parts Part of Vehicle, Instrument Panel Parts Part of Vehicle, Audio Part of Vehicle, Telematics Communication System Part of Vehicle"
n187,Panama,"Software, Leisure Products, Household Products"
n188,,"Household Products, Aluminium slab"
n189,Singapore,Oil Strainer Part of Vehicle
n190,United States,Specialty Finance
n191,United States,Small form and t-foundry
n192,United States,Consumer Services
n193,South Korea,"Railroad rails, Banking, High purity, Insurance"
n194,Japan,Organic-coated rolls
n195,,
n196,China,Chemical grade alumina
n197,United States,"Common Rail Part of Vehicle, Common Rail Part of Vehicle, Common Rail Part of Vehicle, Common Rail Part of Vehicle"
n198,Japan,"Wire rods, Household Products"
n199,United States,Asset Management
n200,Russian Federation,Other Fuel Systems Part of Vehicle
n201,India,"Paint Coating Part of Vehicle, Paint Coating Part of Vehicle, Electrolyte for Lithium Ion Battery Part of Vehicle"
n202,South Korea,"Cold-rolled coil cold-rolled sheets, Black plates, Rebars, Steel bar, Wire rods, Welded pipes and rebars, Hot-rolled strip, Steel slab, Steel sheet piles, Railroad rails, Hot-rolled steel rolls, Steel plates, Cold-rolled steel rolls"
n203,China,Industrial Support Services
n204,Japan,"Heavy angles, Heavy angles"
n205,United States,Internet Media & Services
n206,Japan,Welding Part of Vehicle
n207,Taiwan,"Wire rod, Pgm"
n208,United States,"Solar Sensor Part of Vehicle, Various power semiconductor devices for Inverter Part of Vehicle, Clean energy system Part of Vehicle, Battery Charger Part of Vehicle"
n209,Norway,Beverages
n210,,"Steel, Steel, Steel, Rhodium, T-foundry, Copper rod, Alumina, Aluminium rod"
n211,Malaysia,"Various Motor Part of Vehicle, Apparel & Textile Products"
n212,United States,Asset Management
n213,China,"Interior Trim Parts Part of Vehicle, Interior Trim Parts Part of Vehicle, Molding Part of Vehicle, Information System Part of Vehicle, Upper Arm Part of Vehicle"
n214,United States,Software
n215,United States,"Steel slab, High purity, Welded pipes and rebars, Long flame coal, Long flame coal, Forestry, Paper & Wood Products, Pickled steel, Cold-rolled steel, Barbed wire, Molten metal, Hot dip galvanized sheet"
n216,Japan,"Lignite, Household Products, Forestry, Paper & Wood Products, Ferrite strontium powder"
n217,Vietnam,Containers & Packaging
n218,,"Valve Train Parts Part of Vehicle, Air Conditioner Evaporator Part of Vehicle, Air Conditioner Evaporator Part of Vehicle, Heater Parts Part of Vehicle"
n219,Japan,Automatic Control Parts Part of Vehicle
n220,Cayman Islands,
n221,,"Radiator Fan Motor Part of Vehicle, Air Conditioner Fan Switch Part of Vehicle, Heater Fan Motor Part of Vehicle, Crank Case Ventilation System Part of Vehicle, Blower Fan Motor Part of Vehicle, Clutch Master Cylinder/Pump Part of Vehicle, Washer Pump Motor Part of Vehicle, Headlamp Cleaner Motor Part of Vehicle, Headlamp Cleaner Motor Part of Vehicle, Washer Pump Motor Part of Vehicle, Headlamp Cleaner Motor Part of Vehicle, Power Steering Motor Part of Vehicle, Starter Motor Part of Vehicle, Motor Part of Vehicle"
n222,China,"On-board battery charger Part of Vehicle, Battery Part of Vehicle, Various battery Part of Vehicle"
n223,Poland,"Passenger Airbag Module Part of Vehicle, Luggage/Trunk Trim Part of Vehicle, Air/Fuel Management Part of Vehicle, Leisure Facilities & Services, Air Intake Module Part of Vehicle, Various processes Part of Vehicle"
n224,Germany,High Pressure Pipe Part of Vehicle
n225,,
n226,United States,"Instrument Frame Part of Vehicle, LCD Part of Vehicle, Counter Shaft Part of Vehicle, Emblem Part of Vehicle, LCD Part of Vehicle"
n227,,"Automatic Transmission Carrier Part of Vehicle, Leisure Facilities & Services, Automatic Transmission Carrier Part of Vehicle, ETC Part of Vehicle, Electronics Parts Part of Vehicle, Industrial Support Services, Commercial Support Services, Fuel Pump Housing Part of Vehicle"
n228,China,Asset Management
n229,Japan,Gasket Part of Vehicle
n230,Mexico,Air/Fuel Management Part of Vehicle
n231,Thailand,"Chemical grade alumina, Hot-rolled strip, Organic-coated rolls"
n232,United States,Hot-rolled coil
n233,Mexico,"Hot-rolled strip, Leisure Products, Hot dip galvanized rolls, Welded pipes and rebars, Steel, Steel, Molten metal"
n234,China,Steel
n235,Taiwan,"Forestry, Paper & Wood Products, Hard coking coal, Small form and t-foundry"
n236,South Africa,"Passenger Airbag Module Part of Vehicle, Air/Fuel Management Part of Vehicle, Industrial Support Services, Distributor Part of Vehicle, Distributor Part of Vehicle"
n237,China,"Other Fuel Systems Part of Vehicle, Electronics/Electric Parts Part of Vehicle"
n238,Japan,"Industrial Support Services, Luggage/Trunk Trim Part of Vehicle"
n239,,"Various power semiconductor devices for Power ECU Part of Vehicle, Solar Sensor Part of Vehicle"
n240,,"Semi-anthracite pulverised coal injection (pci) coal, Semi-anthracite pulverised coal injection (pci) coal, Household Products, Software, Iridium, Real Estate Services, Insurance"
n241,South Korea,"Small form and t-foundry, Fertilizer, Coal, Railroad rails, Steel meshes"
n242,India,Air Conditioner Compressor Part of Vehicle
n243,Taiwan,Electronics Parts Part of Vehicle
n244,Japan,"Asset Management, Banking"
n245,,
n246,,"Software, Asset Management"
n247,France,"Specialty Finance, Casting Part of Vehicle, Home Construction, Home Construction"
n248,Japan,"Refined zinc, High purity, Chemical grade alumina"
n249,Vietnam,Gasket Part of Vehicle
n250,Japan,"Lignite, Sulphuric acid, Chemical grade alumina"
n251,Australia,Lithium
n252,Taiwan,Lens Part of Vehicle
n253,Germany,"Iron concentrate, Steel, Ilmenite"
n254,Japan,Machining Part of Vehicle
n255,Pakistan,Tire Parts Part of Vehicle
n256,Panama,"Generator (Electric Vehicle/Hybrid Vehicle/Fuel Cell Vehicle) Part of Vehicle, Clean energy system Part of Vehicle, Clean energy system Part of Vehicle"
n257,Vietnam,Oil Pump Part of Vehicle
n258,South Korea,Hot-rolled strip
n259,Japan,
n260,Russian Federation,"Gas Spring Part of Vehicle, Surface treatment/Heat treatment Part of Vehicle, Oil Pump Part of Vehicle, Oil Pump Part of Vehicle, Gasket Part of Vehicle, Oil Level Gauge Part of Vehicle"
n261,Japan,T-foundry
n262,,"Piston Part of Vehicle, Pin Part of Vehicle, O Ring Part of Vehicle, Valve Part of Vehicle"
n263,United States,"Instrument Panel Part of Vehicle, Sensor Part of Vehicle, Categories by Production process Part of Vehicle, Industrial Support Services"
n264,Japan,HVAC Module Part of Vehicle
n265,Taiwan,"Containers & Packaging, Door Panel Parts Part of Vehicle"
n266,India,4WD Parts Part of Vehicle
n267,Japan,Publishing & Broadcasting
n268,Russia,
n269,Argentina,Other Fuel Systems Part of Vehicle
n270,,Software
n271,Japan,"Pulverized coal injection, Household Products, Entertainment Content, Uranium, Small form and t-foundry, Cold-rolled steel rolls, Software"
n272,,Software
n273,,"Thermal coal, Insurance, Lead"
n274,Malaysia,Steel
n275,Switzerland,"Automatic Transmission Carrier Part of Vehicle, Exterior Parts Part of Vehicle, Catalyst Carrier Part of Vehicle"
n276,Taiwan,Small/General Parts Part of Vehicle
n277,China,"Engine Cooling System Part of Vehicle, Pressure Regulator Part of Vehicle"
n278,Japan,Carburetor Parts Part of Vehicle
n279,China,Asset Management
n280,Japan,"Iron ore, Steel, Iron, Aluminium"
n281,United States,Asset Management
n282,China,"Thermal coal, Uranium"
n283,Finland,"Hot-rolleds steel, Black plates, Hot-rolled strip"
n284,Vietnam,Gasket Part of Vehicle
n285,,"Spring Part of Vehicle, Control Cable Part of Vehicle, ETC Part of Vehicle, Suspension Part of Vehicle, Coil Spring Part of Vehicle, Stabilizer Part of Vehicle, Leaf Spring Part of Vehicle, Torsion Bar Part of Vehicle, Spring Part of Vehicle, Valve Spring Part of Vehicle, Spring Part of Vehicle, Tension Rod Part of Vehicle, Torsion Bar Part of Vehicle, Spring Part of Vehicle, Spring Part of Vehicle, Spring Part of Vehicle, Brake Disc Part of Vehicle, Coil Spring Part of Vehicle, Parking Brake Part of Vehicle, Electric Cable Part of Vehicle, Wire Harness Part of Vehicle, Air Fuel Module Part of Vehicle, Battery Cable Part of Vehicle, Electric Cable Part of Vehicle, Door Lock Module Part of Vehicle, Control Cable Part of Vehicle, Brake By Wire Part of Vehicle"
n286,Canada,"Interior Part of Vehicle, Exterior Parts Part of Vehicle, HVAC Module Part of Vehicle, Water Pump Part of Vehicle, Electric Air Purifier Part of Vehicle"
n287,Japan,Household Products
n288,United States,"Forestry, Paper & Wood Products"
n289,Japan,"Covers, Zircon"
n290,United Kingdom,Gold
n291,,"Organic-coated rolls, Alumina hydrate, Coke, Lignite, Chemical grade alumina"
n292,,"Software, Heavy angles, Pgm, T-foundry, Anode slime"
n293,China,"Hot-rolled steel rolls, Leisure Products"
n294,China,Beverages
n295,Indonesia,Tire Part of Vehicle
n296,,"Coal, Thermal coal"
n297,Hong Kong,"Iron ore concentrate, Chemical grade alumina"
n298,Japan,"Air Conditioner Compressor Part of Vehicle, Air Conditioner Pressure Switch Part of Vehicle, Air Conditioner Part of Vehicle, Vacuum Sensor Part of Vehicle, Paint Coating Part of Vehicle, Liquid Crystal Part of Vehicle"
n299,India,Home Construction
n300,,"Lithium, Alumina, Rhodium, Sodium tripolyphosphate"
n301,,"Silicomanganese, Pgm"
n302,Japan,"Disc Brake Part of Vehicle, Drum Brake Part of Vehicle, Brake Pad Part of Vehicle, Brake Lining Part of Vehicle, Brake Parts Part of Vehicle, Brake Parts Part of Vehicle, Sensor Part of Vehicle"
n303,China,Fertilizer
n304,,"Asset Management, Beverages, Welded pipes and rebars, Copper rod"
n305,Taiwan,Household Products
n306,South Korea,"Iron pellets, Steel, Tinplate, Hot-rolled steel, Organic-coated rolls, Forestry, Paper & Wood Products"
n307,Indonesia,"Audio Parts Part of Vehicle, Leisure Facilities & Services, Passenger Airbag Module Part of Vehicle"
n308,,Bearing Part of Vehicle
n309,Japan,Various Lamps Part of Vehicle
n310,Japan,"Alumina, Small form and t-foundry, Fertilizer, Chemical grade alumina, Software, Software"
n311,Japan,"Hot-rolled steel rolls, Sinter, Sinter, Sinter, Railroad rails, Railroad rails, Railroad rails, Railroad rails, Railroad rails, Software, Steel sheet piles"
n312,China,Distributor Part of Vehicle
n313,India,Sulphuric acid
n314,China,Real Estate Services
n315,China,"Various power semiconductor devices for Power ECU Part of Vehicle, Transmission Part of Vehicle, Industrial Support Services"
n316,,"Lithium, Lithium, Manganese, Lithium"
n317,Indonesia,"Welded pipes and rebars, Steel, Galvanized steel, High purity"
n318,,
n319,,"Engine Parts Part of Vehicle, Rocker Shaft Part of Vehicle"
n320,Japan,"Household Products, Household Products, Household Products"
n321,,"Air Flow Meter Part of Vehicle, Air Conditioner Water Temperature Sensor Part of Vehicle, Air Flow Meter Part of Vehicle, Various Meters Parts Part of Vehicle, Air Flow Meter Part of Vehicle, Air Flow Meter Part of Vehicle, Various Meters Parts Part of Vehicle, Heater Part of Vehicle, Pipe Part of Vehicle"
n322,China,Asset Management
n323,Germany,Distributor Part of Vehicle
n324,Indonesia,Oil Pan Part of Vehicle
n325,Spain,"Wholesale - Discretionary, Transmission Part of Vehicle, Internet Media & Services, Internet Media & Services, Electric Cable Part of Vehicle, Fuel Handling And Evapo System Part of Vehicle, Hydroforming Part of Vehicle, Fuel Evaporator Part of Vehicle, Home Construction"
n326,Vietnam,"Distributor Part of Vehicle, Home Construction, Seal Part of Vehicle, Industrial Support Services"
n327,United States,Long flame coal
n328,United States,Air Conditioner ECU Part of Vehicle
n329,China,Palladium
n330,,Sulphuric acid
n331,China,Oil Pump Part of Vehicle
n332,South Korea,
n333,China,"Refined zinc, Food, Chemical grade alumina, Beverages"
n334,,"Steel meshes, Railroad rails, Steel sheet piles, Steel slab, Steel slab, Railroad rails, Limestone, Rutile, Tin plates, Limestone"
n335,,"Sinter, Fertilizer"
n336,United States,Drive Train Part of Vehicle
n337,China,"Gold, Manganese, Manganese"
n338,Taiwan,Electronics/Electric Parts Part of Vehicle
n339,Japan,Wire rods
n340,,"Uranium, Coal, High-carbon ferromanganese"
n341,,"Alumina, Zircon, Refined silver, Iron ore fines, Galvanized steel, Limestone, High purity, Pulverized coal injection, Long flame coal"
n342,,"Refined silver, Nickel, Niobium, Molten metal, Steel, Steel, Molten metal, Zircon, Steel bar, Billet, Chemical grade alumina, Coke, Hot-rolled coil, Steel bar, Wire rod, Aluminium ingot, Heavy angles, Black plates, Ferrite strontium powder, Hot-rolled strip, Steel meshes, Wire rod, Heavy angles, Hot-rolled sheet, Limestone, Hot-rolled strip, Tinplate, Wire rod, Steel, Steel, Cobalt, Chemical grade alumina, Steel, Nickel, Cold-rolled steel, Steel, Steel, Steel, Copper, Molten metal"
n343,China,
n344,Philippines,Steel plates
n345,Brazil,Telematics Communication System Part of Vehicle
n346,Taiwan,"Information System Part of Vehicle, LCD Part of Vehicle, Electronics/Electric Parts Part of Vehicle"
n347,,"Hot dip galvanized steel rolls, Forestry, Paper & Wood Products, Small form and t-foundry, Pgm, Lead"
n348,Taiwan,Chemical grade alumina
n349,,"Chemical grade alumina, Fertilizer, Fertilizer"
n350,China,Steel
n351,,"Pci, Pyrite, Railroad rails, Software, Pci, Software, Pgm, Pgm"
n352,Vietnam,"Iron ore, Coal, Steel"
n353,United States,Asset Management
n354,China,Intake Gas Pressure Sensor Part of Vehicle
n355,China,"Chemical grade alumina, Hot-rolled sheet, Wire rods"
n356,Mexico,Asset Management
n357,,Insurance
n358,South Korea,"Aluminium ingot, Forestry, Paper & Wood Products"
n359,Japan,Steel
n360,United States,Information System Part of Vehicle
n361,China,"Steel, Continuous caster slab, Steel, Hot-rolled steel rolls, Coking coal concentrate, Semi-anthracite pulverised coal injection (pci) coal, Copper rod"
n362,,"Banking, Pgm"
n363,Colombia,"Clutch Disc Part of Vehicle, Package Tray Part of Vehicle"
n364,Japan,Aluminum machining Part of Vehicle
n365,India,Plastic extruded parts Part of Vehicle
n366,China,"Truck Body Panel Part of Vehicle, Truck Body Panel Part of Vehicle, Chassis Module Part of Vehicle, Front Axle Part of Vehicle, Turn Signal Lamp Part of Vehicle"
n367,China,Chemical grade alumina
n368,China,Magnet Part of Vehicle
n369,Canada,Specialty Finance
n370,Hong Kong,Refined cobalt
n371,,"Iron, Steel"
n372,Brazil,Industrial Support Services
n373,United States,E-Commerce Discretionary
n374,,
n375,,"Leisure Products, Software, Asset Management, Asset Management, Asset Management, Zircon, Billet, Zircon"
n376,Russian Federation,Molten metal
n377,Japan,"T-foundry, Small form and t-foundry"
n378,Japan,Asset Management
n379,United States,Industrial Support Services
n380,Russia,"Nickel, Copper, Palladium, Platinum, Rhodium, Cobalt"
n381,,"Flat bars, Hot-rolled strip, Steel bar"
